time grd_truth(x) grd_truth(y) grd_truth(vx) grd_truth(vy) est(x) est(y) est(vx) est(vy) RMSE(x) RMSE(y) RMSE(vx) RMSE(vy) x(x) x(y) x(v) x(yaw) x(yawd) P(0,0) P(0,1) P(0,2) P(0,3) P(0,4) P(1,0) P(1,1) P(1,2) P(1,3) P(1,4) P(2,0) P(2,1) P(2,2) P(2,3) P(2,4) P(3,0) P(3,1) P(3,2) P(3,3) P(3,4) P(4,0) P(4,1) P(4,2) P(4,3) P(4,4)
1477010444450000 8.0968 0.978759 5.08907 0.761915 8.08658 0.819869 5.07344 0.279386 8.08658 0.819869 5.08113 0.0550128 0.0770244 0.0814547 0.601814 1.03491 0.0295414 0.00341985 -0.000426015 0.0041533 -0.000367631 -0.000569327 -0.000426015 0.00876717 -0.00045378 0.00497249 0.00703818 0.0041533 -0.00045378 0.0167577 -0.000484604 -0.000805133 -0.000367631 0.00497249 -0.000484604 0.00408226 0.00768246 -0.000569327 0.00703818 -0.000805133 0.00768246 0.0216403
1477010444500000 8.35106 1.01814 5.07766 0.812843 8.32609 0.837571 5.05469 0.298484 8.32609 0.837571 5.0635 0.0589824 0.0759045 0.0864444 0.592042 1.02226 0.033177 0.00330857 -0.000352131 0.00430712 -0.000314844 -0.000476394 -0.000352131 0.00767343 -0.000271186 0.00428218 0.0059981 0.00430712 -0.000271186 0.0182828 -0.000352871 -0.000556268 -0.000314844 0.00428218 -0.000352871 0.00365975 0.00705723 -0.000476394 0.0059981 -0.000556268 0.00705723 0.0207359
1477010444550000 8.60472 1.06011 5.06537 0.865226 8.59395 0.930274 5.12505 0.535601 8.59395 0.930274 5.15296 0.104129 0.0747333 0.0881244 0.582814 1.00785 0.0958543 0.00341089 -0.000444695 0.00414313 -0.000376507 -0.000570853 -0.000444695 0.00881974 -0.000320703 0.0048965 0.00685843 0.00414313 -0.000320703 0.0167087 -0.000390036 -0.000633608 -0.000376507 0.0048965 -0.000390036 0.00400167 0.00754762 -0.000570853 0.00685843 -0.000633608 0.00754762 0.0214555
1477010444600000 8.85775 1.10473 5.05216 0.919037 8.83277 0.990504 5.09095 0.653138 8.83277 0.990504 5.13267 0.127597 0.0737207 0.0890279 0.573955 0.993537 0.122058 0.00330714 -0.000397785 0.00429943 -0.000357321 -0.000544875 -0.000397785 0.00768752 -0.000127629 0.00421203 0.00586032 0.00429943 -0.000127629 0.0182424 -0.000279899 -0.000425587 -0.000357321 0.00421203 -0.000279899 0.00360178 0.00697531 -0.000544875 0.00586032 -0.000425587 0.00697531 0.0206534
1477010444650000 9.1101 1.15208 5.03798 0.974245 9.12154 1.03081 5.14311 0.70215 9.12154 1.03081 5.19082 0.135684 0.0726549 0.0901412 0.565739 0.979929 0.124135 0.00341417 -0.000518276 0.00411558 -0.000441924 -0.00066921 -0.000518276 0.00894383 6.15816e-05 0.00489109 0.006829 0.00411558 6.15816e-05 0.0166576 -0.00014326 -0.000161014 -0.000441924 0.00489109 -0.00014326 0.00398341 0.00753024 -0.00066921 0.006829 -0.000161014 0.00753024 0.0214717
1477010444700000 9.36172 1.20223 5.0228 1.03082 9.36039 1.0631 5.11622 0.725791 9.36039 1.0631 5.16744 0.14092 0.0716098 0.0919038 0.557822 0.967204 0.123103 0.00331201 -0.000459728 0.00427353 -0.000420948 -0.000642636 -0.000459728 0.00774319 0.000198899 0.00418827 0.00581691 0.00427353 0.000198899 0.0182051 -8.50349e-05 -5.60587e-05 -0.000420948 0.00418827 -8.50349e-05 0.00358651 0.00696773 -0.000642636 0.00581691 -5.60587e-05 0.00696773 0.0206855
1477010444750000 9.61255 1.25524 5.00656 1.08873 9.63859 1.13978 5.14783 0.867025 9.63859 1.13978 5.22034 0.166859 0.0707416 0.092639 0.550524 0.954391 0.150044 0.0034227 -0.000599365 0.00408634 -0.000512679 -0.000770728 -0.000599365 0.00910762 0.000389076 0.00493008 0.00688287 0.00408634 0.000389076 0.0166433 5.16395e-05 0.000192326 -0.000512679 0.00493008 5.16395e-05 0.00400415 0.00757513 -0.000770728 0.00688287 0.000192326 0.00757513 0.0215741
1477010444800000 9.86254 1.31118 4.98922 1.14794 9.91171 1.2715 5.12831 1.14604 9.91171 1.2715 5.25481 0.219861 0.0702457 0.0916111 0.543514 0.941406 0.212792 0.00332157 -0.000527997 0.00424552 -0.000489461 -0.000744876 -0.000527997 0.00782304 0.000478581 0.00419393 0.00582462 0.00424552 0.000478581 0.0181945 6.58176e-05 0.000213029 -0.000489461 0.00419393 6.58176e-05 0.00359675 0.00699611 -0.000744876 0.00582462 0.000213029 0.00699611 0.0207571
1477010444850000 10.1117 1.37011 4.97074 1.20841 10.1594 1.37035 5.03228 1.3112 10.1594 1.37035 5.20029 0.254891 0.0697464 0.0903977 0.536408 0.929086 0.250066 0.00343933 -0.00070247 0.00402288 -0.000605836 -0.000902501 -0.00070247 0.0092756 0.000953363 0.00497214 0.00693325 0.00402288 0.000953363 0.0167051 0.000405016 0.000849046 -0.000605836 0.00497214 0.000405016 0.00402165 0.0075989 -0.000902501 0.00693325 0.000849046 0.0075989 0.0216072
1477010444900000 10.3598 1.4321 4.95106 1.2701 10.3855 1.44956 4.97593 1.40837 10.3855 1.44956 5.1714 0.275822 0.0689692 0.089275 0.529501 0.917365 0.262389 0.00334621 -0.000644532 0.00417561 -0.000613933 -0.000941051 -0.000644532 0.0078743 0.000978769 0.00418748 0.00580118 0.00417561 0.000978769 0.0182467 0.000339765 0.000719399 -0.000613933 0.00418748 0.000339765 0.00360427 0.00700692 -0.000941051 0.00580118 0.000719399 0.00700692 0.0207735
1477010444950000 10.6069 1.49721 4.93014 1.33298 10.6163 1.54464 4.85086 1.53828 10.6163 1.54464 5.08892 0.307083 0.0681179 0.0884704 0.522991 0.906406 0.293835 0.00347143 -0.000844422 0.00392161 -0.000742959 -0.00110173 -0.000844422 0.00933074 0.00159842 0.004968 0.00689498 0.00392161 0.00159842 0.016862 0.000781807 0.00152923 -0.000742959 0.004968 0.000781807 0.00403324 0.00760272 -0.00110173 0.00689498 0.00152923 0.00760272 0.0215884
1477010445000000 10.853 1.56549 4.90794 1.39701 10.8445 1.5679 4.83707 1.46669 10.8445 1.5679 5.05455 0.294406 0.0672952 0.0873857 0.516692 0.89535 0.256718 0.00337673 -0.000751887 0.00407959 -0.000737907 -0.00112222 -0.000751887 0.0078529 0.0015091 0.00415816 0.00572927 0.00407959 0.0015091 0.0183673 0.000629355 0.00123595 -0.000737907 0.00415816 0.000629355 0.00362056 0.00702361 -0.00112222 0.00572927 0.00123595 0.00702361 0.0207844
1477010445050000 11.0979 1.637 4.8844 1.46213 11.1099 1.62043 4.88074 1.46562 11.1099 1.62043 5.09605 0.291718 0.0665149 0.086377 0.510504 0.884627 0.232986 0.00350792 -0.000972234 0.00381482 -0.000872751 -0.00127831 -0.000972234 0.00933443 0.00211322 0.00496733 0.00686237 0.00381482 0.00211322 0.0170249 0.00106385 0.00200185 -0.000872751 0.00496733 0.00106385 0.0040766 0.00765724 -0.00127831 0.00686237 0.00200185 0.00765724 0.0216535
